Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Fraction		"UV_CUT_TEMP@100,BASEM (1)"		Run Log	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Fraction	ml	mAU	ml	Logbook
-173.98027	2.957997	-173.98027	27.842577	-173.667053	100					1.252731	-0.034747		
-173.966934	2.942139	-173.966934	27.842075	-173.650406	100					1.266068	-0.034718		
-173.953613	2.926018	-173.953613	27.842726	-173.633743	100					1.279388	-0.034689		
-173.940292	2.907939	-173.940292	27.845213	-173.617081	100					1.292709	-0.034659		
-173.926956	2.893954	-173.926956	27.848492	-173.600418	100					1.306046	-0.03463		
-173.913635	2.882184	-173.913635	27.84973	-173.583771	100					1.319366	-0.034601		
-173.900299	2.87038	-173.900299	27.849344	-173.567108	100					1.332703	-0.034572		
-173.886978	2.854569	-173.886978	27.849007	-173.550446	100					1.346024	-0.034541		
-173.873657	2.840499	-173.873657	27.847536	-173.533783	100					1.359344	-0.034511		
-173.860321	2.834198	-173.860321	27.845692	-173.517136	100					1.372681	-0.034481		
-173.847	2.824258	-173.847	27.843388	-173.500473	100					1.386002	-0.034451		
-173.833664	2.812835	-173.833664	27.842146	-173.48381	100					1.399338	-0.034421		
-173.820343	2.800717	-173.820343	27.842104	-173.467148	100					1.412659	-0.034391		
-173.807022	2.788006	-173.807022	27.844025	-173.450485	100					1.42598	-0.034361		
-173.793686	2.774307	-173.793686	27.844456	-173.433838	100					1.439316	-0.034331		
-173.780365	2.753841	-173.780365	27.843458	-173.417175	100					1.452637	-0.0343		
-173.767029	2.738613	-173.767029	27.843969	-173.400513	100					1.465973	-0.03427		
-173.753708	2.72471	-173.753708	27.843435	-173.38385	100					1.479294	-0.034239		
-173.740387	2.707695	-173.740387	27.8435	-173.367203	100					1.492615	-0.034209		
-173.727051	2.695117	-173.727051	27.843367	-173.35054	100					1.505951	-0.034178		
-173.71373	2.684674	-173.71373	27.84392	-173.333878	100					1.519272	-0.034147		
-173.700394	2.67509	-173.700394	27.843895	-173.317215	100					1.532608	-0.034116		
-173.687073	2.664036	-173.687073	27.843817	-173.300568	100					1.545929	-0.034085		
-173.673752	2.654942	-173.673752	27.843985	-173.283905	100					1.55925	-0.034054		
-173.660416	2.649208	-173.660416	27.84404	-173.267242	100					1.572586	-0.034023		
-173.647095	2.642223	-173.647095	27.845345	-173.25058	100					1.585907	-0.033992		
-173.633759	2.632306	-173.633759	27.847689	-173.233932	100					1.599243	-0.033962		
-173.620438	2.620816	-173.620438	27.847967	-173.21727	100					1.612564	-0.03393		
-173.607117	2.607033	-173.607117	27.846361	-173.200607	100					1.625885	-0.033899		
-173.593781	2.596826	-173.593781	27.844114	-173.183945	100					1.639221	-0.033867		
-173.58046	2.584785	-173.58046	27.843821	-173.167297	100					1.652542	-0.033836		
-173.567139	2.574325	-173.567139	27.845131	-173.150635	100					1.665863	-0.033804		
-173.553802	2.560002	-173.553802	27.846701	-173.133972	100					1.679199	-0.033773		
-173.540482	2.550212	-173.540482	27.847393	-173.11731	100					1.69252	-0.033741		
-173.527145	2.54458	-173.527145	27.848413	-173.100647	100					1.705856	-0.03371		
-173.513824	2.536734	-173.513824	27.849371	-173.084	100					1.719177	-0.033678		
-173.500504	2.529742	-173.500504	27.848885	-173.067337	100					1.732498	-0.033647		
-173.487167	2.52265	-173.487167	27.846199	-173.050674	100					1.745834	-0.033621		
-173.473846	2.513698	-173.473846	27.844545	-173.034012	100					1.759155	-0.033596		
-173.46051	2.503916	-173.46051	27.843704	-173.017365	100					1.772491	-0.03357		
-173.447189	2.488986	-173.447189	27.843147	-173.000702	100					1.785812	-0.033545		
-173.433868	2.474256	-173.433868	27.842678	-172.984039	100					1.799133	-0.033519		
-173.420532	2.459438	-173.420532	27.842924	-172.967377	100					1.812469	-0.033494		
-173.407211	2.445174	-173.407211	27.846312	-172.950729	100					1.82579	-0.033469		
-173.393875	2.437161	-173.393875	27.8557	-172.934067	100					1.839127	-0.033443		
-173.380554	2.427832	-173.380554	27.868256	-172.917404	100					1.852448	-0.033418		
-173.367233	2.419567	-173.367233	27.878416	-172.900742	100					1.865768	-0.033392		
-173.353897	2.415999	-173.353897	27.885212	-172.884094	100					1.879105	-0.03336		
-173.340576	2.403091	-173.340576	27.890266	-172.867432	100					1.892426	-0.033328		
-173.32724	2.390506	-173.32724	27.893106	-172.850769	100					1.905762	-0.033295		
-173.313919	2.377821	-173.313919	27.89399	-172.834106	100					1.919083	-0.033263		
-173.300598	2.363124	-173.300598	27.893915	-172.817459	100					1.932404	-0.033231		
-173.287262	2.348619	-173.287262	27.893093	-172.800797	100					1.94574	-0.033198		
