Chrom.1				
UV				
ml	mAU			
-7.599021	0.203813			
-7.585694	0.204407			
-7.572369	0.203377			
-7.559042	0.203762			
-7.545715	0.205842			
-7.53239	0.207749			
-7.519063	0.2091			
-7.505736	0.206248			
-7.492411	0.206117			
-7.479084	0.205999			
-7.465758	0.201454			
-7.452432	0.196667			
-7.439105	0.193878			
-7.425779	0.192983			
-7.412453	0.192253			
-7.399126	0.191385			
-7.3858	0.189058			
-7.372474	0.192093			
-7.359147	0.19182			
-7.345821	0.187989			
-7.332495	0.187705			
-7.319169	0.187983			
-7.305842	0.188503			
-7.292516	0.189148			
-7.27919	0.187309			
-7.265863	0.186021			
-7.252537	0.185806			
-7.239211	0.188266			
-7.225884	0.188945			
-7.212558	0.186789			
-7.199232	0.184664			
-7.185905	0.183475			
-7.172579	0.186042			
-7.159253	0.183329			
-7.145926	0.182176			
-7.132601	0.184621			
-7.119274	0.186183			
-7.105947	0.1886			
-7.092622	0.187911			
-7.079295	0.190078			
-7.065969	0.188751			
-7.052643	0.185511			
-7.039316	0.183277			
-7.02599	0.182526			
-7.012664	0.182776			
-6.999337	0.180845			
-6.986012	0.18152			
-6.972685	0.183951			
-6.959358	0.184105			
-6.946033	0.184908			
-6.932706	0.18365			
-6.919379	0.185821			
-6.906054	0.185387			
-6.892727	0.186026			
-6.8794	0.186062			
-6.866075	0.187883			
-6.852748	0.185394			
-6.839421	0.183102			
-6.826096	0.181775			
-6.812769	0.179511			
-6.799443	0.180394			
-6.786117	0.181433			
-6.77279	0.183471			
-6.759464	0.185735			
-6.746138	0.188199			
-6.732811	0.192074			
-6.719485	0.191294			
-6.706159	0.189274			
-6.692832	0.187688			
-6.679506	0.18737			
-6.66618	0.187411			
-6.652854	0.183012			
-6.639527	0.179403			
-6.626201	0.176514			
-6.612875	0.175768			
-6.599548	0.172045			
-6.586222	0.167624			
-6.572896	0.165347			
-6.559569	0.163351			
-6.546243	0.164842			
-6.532917	0.164723			
-6.51959	0.166056			
-6.506264	0.168253			
-6.492938	0.171189			
-6.479611	0.175112			
-6.466286	0.176267			
-6.452959	0.175279			
-6.439632	0.174275			
-6.426307	0.176031			
-6.41298	0.174536			
-6.399653	0.174426			
-6.386328	0.176161			
-6.373001	0.174428			
-6.359674	0.171749			
-6.346349	0.172291			
-6.333022	0.172785			
-6.319696	0.168092			
-6.30637	0.165726			
-6.293043	0.16604			
-6.279717	0.167882			
-6.266391	0.169648			
-6.253064	0.167652			
-6.239738	0.173535			
-6.226412	0.175607			
-6.213085	0.175089			
-6.199759	0.17372			
-6.186433	0.17414			
-6.173106	0.178571			
-6.159781	0.176044			
-6.146454	0.17348			
-6.133128	0.173636			
-6.119802	0.174745			
-6.106475	0.174065			
-6.093149	0.169855			
-6.079823	0.168935			
-6.066496	0.169098			
-6.05317	0.171414			
-6.039844	0.169133			
-6.026517	0.171641			
-6.013191	0.173172			
-5.999865	0.175169			
-5.986539	0.175461			
-5.973212	0.175202			
-5.959886	0.175015			
-5.94656	0.172465			
-5.933233	0.170904			
-5.919907	0.170272			
-5.906581	0.169771			
-5.893254	0.168026			
-5.879928	0.165813			
-5.866602	0.167748			
-5.853275	0.169117			
-5.83995	0.167354			
-5.826623	0.167703			
-5.813296	0.170288			
-5.799971	0.169678			
-5.786644	0.170782			
-5.773317	0.169672			
-5.759992	0.169775			
-5.746665	0.16805			
-5.733338	0.16339			
-5.720013	0.16484			
-5.706686	0.164947			
-5.693359	0.164248			
-5.680034	0.165871			
-5.666707	0.164204			
-5.653381	0.164159			
-5.640055	0.163225			
-5.626728	0.163095			
-5.613402	0.163771			
-5.600076	0.164424			
-5.586749	0.164611			
-5.573423	0.166247			
-5.560097	0.167254			
-5.54677	0.166313			
-5.533444	0.167749			
-5.520118	0.166825			
-5.506792	0.164577			
-5.493465	0.166647			
-5.480139	0.1918			
-5.466813	0.210107			
-5.453486	0.20836			
-5.44016	0.211309			
-5.426834	0.213036			
-5.413507	0.216796			
-5.400181	0.202475			
-5.386855	0.173427			
-5.373528	0.174966			
-5.360202	0.175569			
-5.346876	0.174308			
-5.333549	0.172537			
-5.320224	0.173602			
-5.306897	0.170203			
-5.293571	0.168559			
-5.280245	0.165596			
-5.266918	0.166082			
-5.253592	0.165069			
-5.240266	0.163712			
-5.226939	0.164835			
-5.213613	0.161999			
-5.200287	0.162141			
-5.18696	0.158549			
-5.173635	0.159574			
-5.160308	0.158214			
-5.146981	0.15655			
-5.133656	0.157152			
-5.120329	0.158418			
-5.107002	0.15913			
-5.093677	0.159976			
-5.08035	0.159849			
-5.067023	0.160882			
-5.053698	0.162872			
-5.040371	0.165809			
-5.027044	0.168971			
-5.013719	0.175201			
-5.000392	0.179742			
-4.987066	0.184548			
-4.97374	0.181551			
-4.960413	0.181811			
-4.947087	0.179872			
-4.933761	0.173338			
-4.920434	0.168591			
-4.907108	0.167136			
-4.893782	0.166102			
-4.880455	0.166059			
-4.867129	0.1668			
-4.853803	0.164251			
-4.840477	0.167317			
-4.82715	0.167717			
-4.813824	0.162761			
-4.800498	0.162192			
-4.787171	0.160148			
-4.773845	0.160987			
-4.760519	0.158106			
-4.747192	0.157696			
-4.733866	0.159753			
-4.72054	0.162675			
-4.707213	0.163361			
-4.693887	0.165848			
-4.680561	0.165469			
-4.667234	0.165376			
-4.653909	0.168609			
-4.640582	0.170268			
-4.627255	0.171824			
-4.61393	0.170217			
-4.600603	0.168134			
-4.587276	0.167548			
-4.573951	0.165655			
-4.560624	0.164413			
-4.547297	0.163675			
-4.533972	0.166227			
-4.520645	0.170008			
-4.507319	0.171054			
-4.493993	0.173188			
-4.480666	0.17387			
-4.46734	0.176017			
-4.454014	0.1755			
-4.440687	0.17392			
-4.427361	0.176085			
-4.414035	0.175922			
-4.400708	0.172384			
-4.387383	0.170612			
-4.374056	0.168998			
-4.36073	0.167318			
-4.347404	0.164638			
-4.334077	0.163399			
-4.320751	0.162214			
-4.307425	0.161873			
-4.294098	0.161553			
-4.280772	0.161635			
-4.267446	0.161018			
-4.254119	0.160611			
-4.240793	0.162704			
-4.227467	0.163573			
-4.21414	0.163749			
-4.200814	0.162778			
-4.187488	0.161636			
-4.174162	0.161545			
-4.160835	0.163835			
-4.147509	0.163207			
-4.134183	0.16512			
-4.120856	0.165837			
-4.10753	0.166534			
-4.094204	0.16766			
-4.080877	0.166288			
-4.067551	0.161672			
-4.054225	0.158369			
-4.040898	0.158765			
-4.027573	0.159152			
-4.014246	0.157512			
-4.000919	0.155786			
-3.987594	0.155638			
-3.974267	0.154984			
-3.96094	0.153076			
-3.947615	0.153436			
-3.934288	0.154707			
-3.920961	0.154724			
-3.907636	0.156533			
-3.894309	0.161594			
-3.880982	0.161395			
-3.867657	0.163202			
-3.85433	0.161448			
-3.841004	0.162458			
-3.827678	0.16398			
-3.814351	0.163653			
-3.801025	0.16667			
-3.787699	0.165325			
-3.774372	0.168826			
-3.761046	0.167729			
-3.74772	0.165608			
-3.734393	0.162409			
-3.721067	0.160758			
-3.707741	0.162714			
-3.694415	0.159317			
-3.681088	0.157527			
-3.667762	0.157983			
-3.654436	0.158345			
-3.641109	0.157699			
-3.627783	0.154754			
-3.614457	0.152748			
-3.60113	0.151879			
-3.587804	0.148737			
-3.574478	0.146847			
-3.561152	0.143799			
-3.547825	0.140681			
-3.534499	0.140982			
-3.521173	0.139443			
-3.507847	0.139979			
-3.49452	0.142125			
-3.481194	0.14267			
-3.467868	0.144569			
-3.454541	0.14628			
-3.441215	0.147711			
-3.427889	0.148789			
-3.414562	0.147239			
-3.401236	0.147187			
-3.38791	0.143553			
-3.374583	0.140361			
-3.361258	0.138769			
-3.347931	0.137396			
-3.334604	0.135099			
-3.321279	0.138345			
-3.307952	0.142549			
-3.294625	0.145745			
-3.2813	0.149156			
-3.267973	0.151615			
-3.254646	0.150955			
-3.241321	0.149905			
-3.227994	0.145346			
-3.214667	0.142383			
-3.201342	0.139616			
-3.188015	0.139399			
-3.174689	0.138802			
-3.161363	0.14153			
-3.148036	0.141349			
-3.13471	0.141301			
-3.121384	0.146214			
-3.108057	0.147061			
-3.094731	0.146443			
-3.081405	0.144021			
-3.068078	0.141589			
-3.054752	0.140696			
-3.041426	0.139412			
-3.0281	0.136979			
-3.014773	0.136063			
-3.001447	0.139401			
-2.988121	0.139586			
-2.974794	0.140268			
-2.961468	0.140927			
-2.948142	0.140628			
-2.934815	0.139969			
-2.921489	0.138786			
-2.908163	0.138778			
-2.894836	0.139984			
-2.881511	0.142026			
-2.868184	0.143663			
-2.854857	0.146139			
-2.841532	0.146846			
-2.828205	0.149632			
-2.814878	0.151881			
-2.801553	0.150511			
-2.788226	0.149349			
-2.774899	0.145351			
-2.761574	0.147186			
-2.748247	0.146049			
-2.734921	0.145628			
-2.721595	0.147659			
-2.708268	0.147061			
-2.694942	0.15027			
-2.681616	0.152113			
-2.668289	0.153559			
-2.654963	0.15325			
-2.641637	0.148668			
-2.62831	0.14699			
-2.614985	0.14769			
-2.601658	0.145071			
-2.588331	0.141876			
-2.575006	0.143836			
-2.561679	0.144121			
-2.548353	0.144204			
-2.535027	0.142804			
-2.5217	0.141486			
-2.508374	0.142737			
-2.495048	0.143814			
-2.481721	0.146283			
-2.468395	0.147553			
-2.455069	0.149603			
-2.441742	0.149871			
-2.428416	0.14827			
-2.41509	0.14778			
-2.401763	0.144819			
-2.388437	0.141618			
-2.375111	0.142675			
-2.361785	0.14344			
-2.348458	0.144311			
-2.335132	0.144566			
-2.321806	0.143335			
-2.308479	0.143171			
-2.295153	0.142713			
-2.281827	0.14101			
-2.2685	0.139247			
-2.255174	0.138719			
-2.241848	0.137319			
-2.228521	0.135976			
-2.215196	0.135283			
-2.201869	0.134672			
-2.188542	0.134054			
-2.175217	0.132529			
-2.16189	0.132713			
-2.148563	0.134153			
-2.135238	0.136857			
-2.121911	0.138964			
-2.108584	0.140715			
-2.095259	0.143742			
-2.081932	0.144308			
-2.068605	0.144955			
-2.05528	0.14561			
-2.041953	0.143033			
-2.028627	0.143033			
-2.015301	0.14151			
-2.001974	0.137781			
-1.988648	0.137974			
-1.975322	0.139595			
-1.961995	0.137332			
-1.948669	0.136411			
-1.935343	0.136023			
-1.922016	0.134415			
-1.90869	0.132366			
-1.895364	0.13195			
-1.882038	0.131431			
-1.868711	0.1314			
-1.855385	0.132708			
-1.842059	0.133515			
-1.828732	0.134302			
-1.815406	0.132381			
-1.80208	0.13081			
-1.788754	0.130519			
-1.775427	0.12745			
-1.762101	0.1224			
-1.748775	0.122789			
-1.735448	0.122019			
-1.722122	0.121773			
-1.708796	0.122108			
-1.69547	0.125627			
-1.682143	0.126657			
-1.668817	0.123918			
-1.655491	0.1216			
-1.642164	0.11975			
-1.628838	0.119974			
-1.615512	0.119753			
-1.602185	0.119209			
-1.588859	0.121274			
-1.575533	0.125073			
-1.562206	0.125112			
-1.548881	0.125999			
-1.535554	0.125906			
-1.522227	0.12694			
-1.508902	0.12841			
-1.495575	0.125706			
-1.482248	0.126261			
-1.468923	0.124986			
-1.455596	0.12913			
-1.442269	0.131288			
-1.428944	0.12997			
-1.415617	0.130083			
-1.402291	0.129362			
-1.388965	0.133963			
-1.375638	0.134002			
-1.362312	0.130632			
-1.348986	0.12753			
-1.335659	0.131486			
-1.322333	0.129447			
-1.309007	0.124159			
-1.29568	0.123262			
-1.282354	0.121595			
-1.269028	0.124795			
-1.255701	0.124698			
-1.242375	0.125904			
-1.229049	0.129953			
-1.215723	0.130292			
-1.202396	0.131965			
-1.18907	0.129825			
-1.175744	0.129021			
-1.162417	0.127606			
-1.149091	0.127433			
-1.135765	0.126252			
-1.122438	0.127705			
-1.109112	0.129727			
-1.095786	0.130725			
-1.082459	0.129862			
-1.069134	0.127935			
-1.055807	0.127171			
-1.04248	0.125645			
-1.029155	0.123662			
-1.015828	0.125399			
-1.002501	0.125802			
-0.989176	0.124822			
-0.975849	0.123843			
-0.962523	0.122271			
-0.949197	0.122493			
-0.93587	0.120003			
-0.922544	0.118641			
-0.909218	0.117127			
-0.895891	0.117864			
-0.882565	0.115741			
-0.869239	0.113638			
-0.855912	0.11352			
-0.842587	0.113314			
-0.82926	0.113906			
-0.815933	0.115898			
-0.802608	0.117938			
-0.789281	0.122725			
-0.775954	0.125561			
-0.762629	0.125579			
-0.749302	0.124688			
-0.735976	0.124486			
-0.72265	0.125104			
-0.709323	0.123573			
-0.695997	0.122434			
-0.682671	0.124396			
-0.669344	0.12616			
-0.656018	0.127041			
-0.642692	0.12577			
-0.629365	0.123127			
-0.616039	0.121129			
